term	arousal
phone sex	0.988
nervous wreck	0.984
give birth	0.982
pissed off	0.976
anxiety attack	0.970
separation anxiety	0.968
anxiety disorder	0.920
bidding war	0.916
fun activities	0.916
shout out	0.912
great surprise	0.882
car accident	0.880
extreme surprise	0.870
nervous breakdown	0.862
cry out	0.848
drunk driving	0.800
tidal wave	0.788
extreme disgust	0.746
emergency response	0.704
some surprise	0.698
kill for	0.692
murder mystery	0.686
great disgust	0.672
serial killer	0.670
king snake	0.670
emergency room	0.640
lash out	0.632
high performance	0.624
martial artist	0.622
artificial intelligence	0.620
crime story	0.620
nail gun	0.612
cherry bomb	0.598
arm wrestling	0.590
criminal activities	0.590
basketball game	0.584
wrestling match	0.582
exhibition game	0.580
civil war	0.580
murder charge	0.576
horse racing	0.572
extremely negative	0.572
live action	0.572
active duty	0.570
running away	0.568
boa constrictor	0.568
nuclear war	0.566
political campaign	0.562
police officer	0.562
forest fire	0.562
asthma attack	0.558
fighting words	0.556
military action	0.554
fire department	0.550
criminal investigation	0.550
sexual attraction	0.548
character assassination	0.546
assault rifle	0.546
strong winds	0.546
gut wrenching	0.540
volleyball game	0.540
under attack	0.538
driving force	0.534
having sex	0.534
war machine	0.532
full blast	0.532
direct action	0.528
emergency department	0.526
revolutionary war	0.524
heavy breathing	0.524
mass murder	0.524
nuclear bomb	0.522
critical care	0.520
atomic bomb	0.516
get revenge	0.516
firing squad	0.516
crash landing	0.514
drug dealing	0.512
death sentence	0.512
professional wrestling	0.508
work hard	0.508
mass murderer	0.508
killing me	0.508
jet engine	0.508
population growth	0.508
death threat	0.506
oral sex	0.500
sexual assault	0.500
sex life	0.500
police investigation	0.500
nightmare scenario	0.500
terrorist attack	0.500
emergency services	0.500
pay attention	0.500
grim reaper	0.494
dangerous driving	0.492
slight surprise	0.492
sex worker	0.492
dog fight	0.492
killer instinct	0.492
breaking news	0.492
war zone	0.492
sex toy	0.492
white supremacist	0.492
security risk	0.492
gun for	0.492
grand opening	0.492
psychological warfare	0.488
security forces	0.488
risk management	0.486
military force	0.484
tongue piercing	0.484
charge up	0.484
augmented reality	0.484
criminal offence	0.484
fist fight	0.484
horror film	0.484
bomb threat	0.484
police state	0.482
brain teaser	0.482
extreme anticipation	0.480
racial discrimination	0.478
criminal court	0.476
publicity stunt	0.476
fight back	0.476
pepper spray	0.476
stranger danger	0.476
nuclear power	0.476
panic attack	0.476
quick response	0.476
freedom fighter	0.474
gearing up	0.474
paying attention	0.474
arrest warrant	0.474
booster dose	0.472
great anticipation	0.470
entertainment industry	0.470
great opportunity	0.470
strong support	0.470
screwed up	0.468
top speed	0.468
fighting chance	0.468
have fun	0.468
sex offender	0.468
carpe diem	0.466
the bomb	0.466
machine gun	0.466
wild things	0.466
play hardball	0.466
sexual abuse	0.464
fire away	0.462
nervous system	0.462
attention whore	0.462
knife fight	0.462
money hungry	0.462
unmitigated disaster	0.462
boxing ring	0.460
scorching hot	0.460
extremely positive	0.460
fire power	0.460
fast forwarding	0.460
breaking and entering	0.458
secret service	0.456
temper tantrum	0.456
punching bag	0.454
penalty shootout	0.454
double whammy	0.454
resisting arrest	0.452
treasure hunt	0.452
danger zone	0.452
heavy lifting	0.452
contagious disease	0.450
highway robbery	0.450
catch fire	0.450
roller skating	0.450
heart attack	0.450
magic trick	0.448
sex drive	0.446
personal injury	0.446
heart surgery	0.446
concentrate on	0.444
red alert	0.444
panic button	0.444
roller skate	0.444
terrorist organization	0.442
decision making	0.442
surprise party	0.442
magic bullet	0.442
horror movie	0.442
emergency medicine	0.442
thunder storm	0.440
crack cocaine	0.440
run rampant	0.440
field hockey	0.437
arrested development	0.436
brute force	0.436
family emergency	0.436
kill me	0.436
american revolution	0.436
energy level	0.436
thought provoking	0.434
horror story	0.434
fighter jet	0.434
adventure game	0.434
the devil	0.432
political correctness	0.432
mental institution	0.432
hard drugs	0.432
aircraft carrier	0.431
defense attorney	0.430
bounce around	0.430
crime syndicate	0.428
rush into	0.428
fast forward	0.428
critical mass	0.428
police force	0.428
sex toys	0.428
bleeding heart	0.426
dance around	0.426
kick it	0.426
extreme trust	0.426
run wild	0.426
anger management	0.424
whistle blower	0.424
shooting guard	0.424
class war	0.424
victim mentality	0.424
game changer	0.424
coral snake	0.424
wild animals	0.424
horror show	0.424
exclamation point	0.422
keep running	0.422
rocket launcher	0.422
crime scene	0.422
affiliate marketing	0.422
superiority complex	0.422
mass destruction	0.422
vietnam war	0.422
power plant	0.422
police station	0.422
news agency	0.422
beat off	0.420
fighting spirit	0.418
strategic planning	0.416
power forward	0.416
have sex	0.416
power up	0.416
working group	0.414
football season	0.414
heavy handed	0.414
tap dancing	0.414
cardiac arrest	0.412
power struggle	0.412
great power	0.412
street fighter	0.412
golden opportunity	0.412
emotional intelligence	0.412
alcohol poisoning	0.410
kick off	0.410
conspiracy theorist	0.410
illegal immigrant	0.410
allergic reaction	0.410
double-edged sword	0.410
something awful	0.410
kick butt	0.410
crawling with	0.410
at gunpoint	0.410
mass extinction	0.408
seek revenge	0.406
sports car	0.406
car crash	0.406
fight on	0.406
action figure	0.405
popularity contest	0.404
hate crime	0.404
capital punishment	0.404
armed forces	0.404
live television	0.404
acid rain	0.404
snake eyes	0.404
secret society	0.404
fire station	0.402
kick up	0.402
child abuse	0.402
boxing match	0.402
fire extinguisher	0.400
military personnel	0.400
giving birth	0.400
bench press	0.400
gas mask	0.400
panic selling	0.400
fast track	0.398
make noise	0.396
shooting range	0.396
shoot back	0.396
shake hands	0.396
uphill battle	0.396
